2017-09-04,"9-4 Postgame Wrap: Rockies 4, Giants 3",https://audioboom.com/posts/6268736-9-4-postgame-wrap-rockies-4-giants-3.mp3,"9-4 Postgame Highlights: Rockies 4, Giants 3",https://audioboom.com/posts/6268705-9-4-postgame-highlights-rockies-4-giants-3.mp3
2017-09-03,"9-3 Postgame Wrap: Cardinals 7, Giants 3",https://audioboom.com/posts/6266292-9-3-postgame-wrap-cardinals-7-giants-3.mp3,"9-3 Postgame Highlights: Cardinals 7, Giants 3",https://audioboom.com/posts/6266293-9-3-postgame-highlights-cardinals-7-giants-3.mp3
2017-09-02,"9-2 Postgame Wrap: Giants 2, Cardinals 1",https://audioboom.com/posts/6264459-9-2-postgame-wrap-giants-2-cardinals-1.mp3,"9-2 Postgame Highlights: Giants 2, Cardinals 1",https://audioboom.com/posts/6264471-9-2-postgame-highlights-giants-2-cardinals-1.mp3
2017-08-31,"8-31 Postgame Wrap: Cardinals 5, Giants 2",https://audioboom.com/posts/6259761-8-31-postgame-wrap-cardinals-5-giants-2.mp3,"8-31 Postgame Highlights: Cardinals 5, Giants 2",https://audioboom.com/posts/6259771-8-31-postgame-highlights-cardinals-5-giants-2.mp3
2017-08-30,"8-30 Postgame Wrap: Padres 5, Giants 0",https://audioboom.com/posts/6255803-8-30-postgame-wrap-padres-5-giants-0.mp3,"8-30 Postgame Highlights: Padres 5, Giants 0",https://audioboom.com/posts/6255805-8-30-postgame-highlights-padres-5-giants-0.mp3
2017-08-29,"8-29 Postgame Wrap: Padres 6, Giants 3",https://audioboom.com/posts/6252283-8-29-postgame-wrap-padres-6-giants-3.mp3,"8-29 Postgame Highlights: Padres 6, Giants 3",https://audioboom.com/posts/6252284-8-29-postgame-highlights-padres-6-giants-3.mp3
2017-08-28,"8-28 Postgame Wrap: Giants 3, Padres 0",https://audioboom.com/posts/6248797-8-28-postgame-wrap-giants-3-padres-0.mp3,"8-28 Postgame Highlights: Giants 3, Padres 0",https://audioboom.com/posts/6248807-8-28-postgame-highlights-giants-3-padres-0.mp3
2017-08-27,"8-27 Postgame Wrap: DBacks 11, Giants 0",https://audioboom.com/posts/6244890-8-27-postgame-wrap-dbacks-11-giants-0.mp3,"8-27 Postgame Highlights: DBacks 11, Giants 0",https://audioboom.com/posts/6244916-8-27-postgame-highlights-dbacks-11-giants-0.mp3
2017-08-26,"8-26 Postgame Wrap: Diamondbacks 2, Giants 1",https://audioboom.com/posts/6243549-8-26-postgame-wrap-diamondbacks-2-giants-1.mp3,"8-26 Postgame Highlights: Diamondbacks 2, Giants 1",https://audioboom.com/posts/6243538-8-26-postgame-highlights-diamondbacks-2-giants-1.mp3
2017-08-25,"8-25 Postgame Wrap: D-Backs 4, Giants 3",https://audioboom.com/posts/6241839-8-25-postgame-wrap-d-backs-4-giants-3.mp3,"8-25 Postgame Highlights: D-Backs 4, Giants 3",https://audioboom.com/posts/6241840-8-25-postgame-highlights-d-backs-4-giants-3.mp3
2017-08-23,"8-23 Postgame Wrap: Giants 4, Brewers 2",https://audioboom.com/posts/6234217-8-23-postgame-wrap-giants-4-brewers-2.mp3,"8-23 Postgame Highlights: Giants 4, Brewers 2",https://audioboom.com/posts/6234277-8-23-postgame-highlights-giants-4-brewers-2.mp3
2017-08-22,"8-22 Postgame Wrap: Brewers 4, Giants 3",https://audioboom.com/posts/6231471-8-22-postgame-wrap-brewers-4-giants-3.mp3,"8-22 Postgame Highlights: Brewers 4, Giants 3",https://audioboom.com/posts/6231497-8-22-postgame-highlights-brewers-4-giants-3.mp3
2017-08-21,"8-21 Postgame Wrap: Giants 2, Brewers 0",https://audioboom.com/posts/6227591-8-21-postgame-wrap-giants-2-brewers-0.mp3,"8-21 Postgame Highlights: Giants 2, Brewers 0",https://audioboom.com/posts/6227592-8-21-postgame-highlights-giants-2-brewers-0.mp3
2017-08-20,"Postgame Wrap: Phillies 5, Giants 2",https://audioboom.com/posts/6223079-postgame-wrap-phillies-5-giants-2.mp3,"8-20 Postgame Highlights: Phillies 5, Giants 2",https://audioboom.com/posts/6223111-8-20-postgame-highlights-phillies-5-giants-2.mp3
2017-08-19,"819 Postgame Wrap: Phillies 12, Giants 9",https://audioboom.com/posts/6221638-8-19-postgame-wrap-phillies-12-giants-9.mp3,"819 Postgame Highlights: Phillies 12, Giants 9",https://audioboom.com/posts/6221646-8-19-postgame-highlights-phillies-12-giants-9.mp3
2017-08-18,"8-18 Postgame Highlights: Giants 10, Phillies 2",https://audioboom.com/posts/6219775-8-18-postgame-highlights-giants-10-phillies-2.mp3
2017-08-17,"8-17 Postgame Wrap: Giants 5, Phillies 4",https://audioboom.com/posts/6216274-8-17-postgame-wrap-giants-5-phillies-4.mp3,"8-17 Postgame Highlights: Giants 5, Phillies 4",https://audioboom.com/posts/6216276-8-17-postgame-highlights-giants-5-phillies-4.mp3
2017-08-16,"Jon, Duane &amp; Jeremy talk about dropping the series finale to the Marlins.",https://audioboom.com/posts/6211390-8-16-postgame-wrap-marlins-8-giants-1.mp3,"8-16 Postgame Highlights: Marlins 8, Giants 1",https://audioboom.com/posts/6211311-8-16-postgame-highlights-marlins-8-giants-1.mp3
2017-08-15,"8-15 Postgame Wrap: Giants 9, Marlins 4",https://audioboom.com/posts/6208871-8-15-postgame-wrap-giants-9-marlins-4.mp3,"8-15 Postgame Highlights: Giants 9, Marlins 4",https://audioboom.com/posts/6208847-8-15-postgame-highlights-giants-9-marlins-4.mp3
2017-08-14,"8-14 Postgame Wrap: Marlins 8, Giants 3",https://audioboom.com/posts/6205294-8-14-postgame-wrap-marlins-8-giants-3.mp3,"8-14 Postgame Highlights: Marlins 8, Giants 3",https://audioboom.com/posts/6205260-8-14-postgame-highlights-marlins-8-giants-3.mp3
