Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
46,Sunday May 22,boxscore,SFG,,CHC,W,1,0,,27-19,1,up 4.0,Bumgarner,Hendricks,Casilla,2:33,N,41359,++
47,Monday May 23,boxscore,SFG,,SDP,W-wo,1,0,,28-19,1,up 4.5,Cueto,Hand,,2:37,N,42099,+++
48,Tuesday May 24,boxscore,SFG,,SDP,W,8,2,,29-19,1,up 4.5,Samardzija,Cashner,,2:51,N,41772,++++
49,Wednesday May 25,boxscore,SFG,,SDP,W-wo,4,3,10,30-19,1,up 4.5,Kontos,Hand,,3:22,D,41363,+++++
50,Friday May 27,boxscore,SFG,@,COL,L,2,5,,30-20,1,up 4.5,Chatwood,Suarez,McGee,2:42,N,32901,-
51,Saturday May 28,boxscore,SFG,@,COL,W,10,5,,31-20,1,up 4.5,Gearrin,Estevez,,3:27,D,39253,+
52,Sunday May 29,boxscore,SFG,@,COL,W,8,3,,32-20,1,up 4.5,Cueto,Rusin,,3:25,D,42307,++
53,Monday May 30,boxscore,SFG,@,ATL,L,3,5,,32-21,1,up 4.5,Foltynewicz,Samardzija,,2:37,D,23147,-
54,Tuesday May 31,boxscore,SFG,@,ATL,W,4,0,,33-21,1,up 4.5,Peavy,Wisler,,2:29,N,15723,+
55,Wednesday Jun 1,boxscore,SFG,@,ATL,L-wo,4,5,11,33-22,1,up 4.5,Withrow,Law,,3:38,N,15107,-
56,Thursday Jun 2,boxscore,SFG,@,ATL,W,6,0,,34-22,1,up 5.5,Bumgarner,Blair,,2:49,D,15983,+
57,Friday Jun 3,boxscore,SFG,@,STL,W,5,1,,35-22,1,up 5.5,Cueto,Wainwright,,3:11,N,43560,++
58,Saturday Jun 4,boxscore,SFG,@,STL,L,4,7,,35-23,1,up 4.5,Lyons,Samardzija,Rosenthal,2:39,N,45453,-
59,Sunday Jun 5,boxscore,SFG,@,STL,L,3,6,,35-24,1,up 3.5,Martinez,Peavy,Rosenthal,3:05,N,44907,--
60,Tuesday Jun 7,boxscore,SFG,,BOS,L,3,5,10,35-25,1,up 3.0,Tazawa,Casilla,Kimbrel,3:04,N,41512,---
61,Wednesday Jun 8,boxscore,SFG,,BOS,W,2,1,,36-25,1,up 4.0,Gearrin,Price,Strickland,2:45,N,41635,+
62,Friday Jun 10,boxscore,SFG,,LAD,L,2,3,,36-26,1,up 3.0,Kershaw,Casilla,Jansen,2:35,N,41208,-
63,Saturday Jun 11,boxscore,SFG,,LAD,W-wo,5,4,10,37-26,1,up 4.0,Stratton,Jansen,,4:00,D,41358,+
64,Sunday Jun 12,boxscore,SFG,,LAD,W,2,1,,38-26,1,up 5.0,Peavy,Urias,Casilla,3:01,N,41583,++
65,Monday Jun 13,boxscore,SFG,,MIL,W,11,5,,39-26,1,up 6.0,Suarez,Knebel,Law,3:38,N,41543,+++
66,Tuesday Jun 14,boxscore,SFG,,MIL,W,3,2,,40-26,1,up 6.0,Bumgarner,Smith,Casilla,3:21,N,41750,++++
67,Wednesday Jun 15,boxscore,SFG,,MIL,W,10,1,,41-26,1,up 6.0,Cueto,Nelson,,2:56,D,41811,+++++
68,Friday Jun 17,boxscore,SFG,@,TBR,W,5,1,,42-26,1,up 6.5,Samardzija,Archer,,2:45,N,40135,++++++
69,Saturday Jun 18,boxscore,SFG,@,TBR,W,6,4,,43-26,1,up 6.5,Strickland,Colome,Gearrin,3:13,D,23948,+++++++
70,Sunday Jun 19,boxscore,SFG,@,TBR,W,5,1,,44-26,1,up 6.5,Law,Cedeno,,3:30,D,17361,++++++++
71,Monday Jun 20,boxscore,SFG,@,PIT,L,0,1,,44-27,1,up 5.5,Locke,Bumgarner,Melancon,2:24,N,27906,-
72,Tuesday Jun 21,boxscore,SFG,@,PIT,W,15,4,,45-27,1,up 5.5,Cueto,Boscan,,3:49,N,27729,+
73,Wednesday Jun 22,boxscore,SFG,@,PIT,W,7,6,,46-27,1,up 5.5,Law,Hughes,Casilla,3:28,N,33747,++
74,Thursday Jun 23,boxscore,SFG,@,PIT,W,5,3,,47-27,1,up 6.0,Suarez,Niese,Casilla,3:04,D,29986,+++
75,Friday Jun 24,boxscore,SFG,,PHI,W,5,4,,48-27,1,up 7.0,Peavy,Araujo,Casilla,3:21,N,42238,++++
76,Saturday Jun 25,boxscore,SFG,,PHI,L,2,3,,48-28,1,up 7.0,Hellickson,Bumgarner,Gomez,2:47,N,41928,-
77,Sunday Jun 26,boxscore,SFG,,PHI,W-wo,8,7,,49-28,1,up 8.0,Gearrin,Gonzalez,,3:16,D,41479,+
78,Monday Jun 27,boxscore,SFG,,OAK,L,3,8,,49-29,1,up 7.0,Mengden,Samardzija,,2:43,N,41442,-
79,Tuesday Jun 28,boxscore,SFG,,OAK,L,11,13,,49-30,1,up 6.0,Neal,Lopez,Madson,3:53,N,41730,--
80,Wednesday Jun 29,boxscore,SFG,@,OAK,L,1,7,,49-31,1,up 6.0,Manaea,Peavy,,2:44,N,32810,---
81,Thursday Jun 30,boxscore,SFG,@,OAK,W,12,6,,50-31,1,up 6.0,Bumgarner,Overton,,3:43,N,36067,+
82,Friday Jul 1,boxscore,SFG,@,ARI,W,6,4,,51-31,1,up 6.0,Cueto,Miller,Casilla,2:52,N,24859,++
83,Saturday Jul 2,boxscore,SFG,@,ARI,L,5,6,,51-32,1,up 5.0,Barrett,Strickland,Ziegler,2:55,N,30683,-
84,Sunday Jul 3,boxscore,SFG,@,ARI,W,5,4,11,52-32,1,up 5.0,Osich,Burgos,Casilla,3:47,D,26171,+
85,Monday Jul 4,boxscore,SFG,,COL,W,3,1,,53-32,1,up 5.0,Peavy,Anderson,Casilla,2:56,D,41874,++
86,Tuesday Jul 5,boxscore,SFG,,COL,L,3,7,,53-33,1,up 5.0,Lyles,Gearrin,,3:34,N,41753,-
87,Wednesday Jul 6,boxscore,SFG,,COL,W,5,1,,54-33,1,up 6.0,Cueto,De La Rosa,,2:31,N,42076,+
88,Friday Jul 8,boxscore,SFG,,ARI,W,6,2,,55-33,1,up 6.5,Samardzija,Corbin,,3:27,N,41576,++
89,Saturday Jul 9,boxscore,SFG,,ARI,W,4,2,,56-33,1,up 6.5,Kontos,Ray,Casilla,3:03,D,41571,+++
90,Sunday Jul 10,boxscore,SFG,,ARI,W,4,0,,57-33,1,up 6.5,Bumgarner,Bradley,,2:54,N,42075,++++
91,Friday Jul 15,boxscore,SFG,@,SDP,L,1,4,,57-34,1,up 5.5,Cashner,Bumgarner,Maurer,2:39,N,38522,-
92,Saturday Jul 16,boxscore,SFG,@,SDP,L-wo,6,7,10,57-35,1,up 5.5,Quackenbush,Casilla,,4:05,N,40550,--
93,Sunday Jul 17,boxscore,SFG,@,SDP,L,3,5,,57-36,1,up 5.5,Jackson,Cueto,Maurer,3:25,D,35784,---
94,Tuesday Jul 19,boxscore,SFG,@,BOS,L,0,4,,57-37,1,up 4.5,Porcello,Peavy,,2:42,N,38082,----
95,Wednesday Jul 20,boxscore,SFG,@,BOS,L,7,11,,57-38,1,up 4.5,Barnes,Cain,,3:46,N,38201,-----
96,Friday Jul 22,boxscore,SFG,@,NYY,L,2,3,,57-39,1,up 4.0,Miller,Osich,Chapman,3:17,N,45304,------
